Long_Desc                                                                    DHA
Luncheon slices, meatless                                                    0.0
Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan               0.0
Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal                0.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds              0.0
Cereals ready-to-eat, WEETABIX whole grain cereal                            0.0
Cereals ready-to-eat, frosted oat cereal with marshmallows                   0.0
Beans, baked, canned, plain or vegetarian                                    0.0
Beans, baked, canned, with franks                                            0.0
Beans, baked, canned, with pork and sweet sauce                              0.0
Beans, baked, canned, with pork and tomato sauce                             0.0
Beans, black, mature seeds, raw (Phaseolus vulgaris)                         0.0
Beans, black, mature seeds, cooked, boiled, without salt                     0.0
Beans, black turtle, mature seeds, raw (Phaseolus vulgaris)                  0.0
Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch                    0.0
Peanut butter, reduced sodium                                                0.0
Gums, seed gums (includes locust bean, guar)                                 0.0
Sweeteners, tabletop, fructose, dry, powder                                  0.0
Beans, black turtle, mature seeds, canned                                    0.0
Ice creams, chocolate, rich                                                  0.0
Frozen novelties, ice type, pop, with low calorie sweetener                  0.0
Frozen novelties, ice cream type, chocolate or caramel covered, with n       0.0
Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY                         0.0
Millet, puffed                                                               0.0
Tofu yogurt                                                                  0.0
Frozen novelties, juice type, juice with cream                               0.0
Beans, baked, canned, no salt added                                          0.0
Rolls, pumpernickel                                                          0.0
Syrup, Cane                                                                  0.0
Vital wheat gluten                                                           0.0
Puddings, all flavors except chocolate, low calorie, instant, dry mix        0.0
Puddings, all flavors except chocolate, low calorie, regular, dry mix        0.0
Puddings, chocolate flavor, low calorie, regular, dry mix                    0.0
Pie fillings, blueberry, canned                                              0.0
Jellies, reduced sugar, home preserved                                       0.0
Puddings, chocolate flavor, low calorie, instant, dry mix                    0.0
Celery flakes, dried                                                         0.0
Sweeteners, tabletop, fructose, liquid                                       0.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted             0.0
Chicken, meatless, breaded, fried                                            0.0
Tomato sauce, canned, no salt added                                          0.0
Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canne       0.0
Potatoes, canned, drained solids, no salt added                              0.0
Soybean, curd cheese                                                         0.0
Frozen novelties, ice cream type, sundae, prepackaged                        0.0
Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruit       0.0
Cereals ready-to-eat, FAMILIA                                                0.0
Cereals ready-to-eat, ALPEN                                                  0.0
Yeast extract spread                                                         0.0
