row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
1886    8206       800       Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS     481.0
1968    8469       800  Cereals ready-to-eat, KELLOGG'S, Reduced Sugar...     481.0
1929    8346       800  Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CR...     479.0
3063   11323      1100  Peas and carrots, frozen, cooked, boiled, drai...     476.0
3433   11817      1100  Peas and carrots, frozen, cooked, boiled, drai...     476.0
3062   11322      1100               Peas and carrots, frozen, unprepared     475.0
1796    8035       800  Cereals ready-to-eat, GENERAL MILLS, GOLDEN GR...     472.0
3166   11457      1100                   Spinach, raw (Spinacia oleracea)     469.0
1999    8544       800  Cereals ready-to-eat, POST GREAT GRAINS Cranbe...     467.0
1816    8068       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN ...     467.0
5988   18939      1800  Toaster pastries, fruit, toasted (include appl...     467.0
2051    8635       800  Cereals ready-to-eat, GENERAL MILLS, COCOA PUF...     466.0
2928   11163      1100              Collards, frozen, chopped, unprepared     459.0
1879    8189       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Low F...     459.0
3293   11647      1100   Sweet potato, canned, syrup pack, drained solids     458.0
7823   28015      1800                KELLOGG'S, EGGO, Waffles, Homestyle     457.0
1931    8348       800     Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice     455.0
1953    8409       800  Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes     454.0
5787   18288      1800  Pancakes plain, frozen, ready-to-heat (include...     453.0
1817    8069       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...     450.0
7905   28101      1800                    KEEBLER, Cinnamon Toast Grahams     450.0
5819   18326      1800                Pie, pumpkin, commercially prepared     448.0
1932    8349       800  Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUI...     448.0
1954    8410       800  Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spi...     440.0
1786    8019       800     Cereals ready-to-eat, GENERAL MILLS, Corn CHEX     440.0
1851    8128       800  Cereals, oats, instant, fortified, with cinnam...     440.0
5983   18933      1800  Waffle, buttermilk, frozen, ready-to-heat, toa...     437.0
1888    8211       800    Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S     436.0
3000   11251      1100  Lettuce, cos or romaine, raw (Lactuca sativa v...     436.0
3077   11350      1100  Pokeberry shoots, (poke), raw (Phytolacca amer...     435.0
3210   11514      1100                       Sweet potato, canned, mashed     435.0
3443   11827      1100  Pokeberry shoots, (poke), cooked, boiled, drai...     435.0
3078   11351      1100  Pokeberry shoots, (poke), cooked, boiled, drai...     435.0
8219   31023      1100  Sweet Potatoes, french fried, frozen as packag...     434.0
1917    8274       800  Cereals ready-to-eat, GENERAL MILLS, BERRY BER...     433.0
1807    8057       800  Cereals ready-to-eat, GENERAL MILLS, Honey Nut...     432.0
2004    8554       800  Cereals ready-to-eat, POST SELECTS Maple Pecan...     431.0
3504   11893      1100  Turnip greens and turnips, frozen, cooked, boi...     431.0
3248   11577      1100  Turnip greens and turnips, frozen, cooked, boi...     431.0
8612   42261       800  Cereals ready-to-eat, POST, GREAT GRAINS Crunc...     430.0
8062   28260      1800           KELLOGG'S, EGGO, Waffles, Chocolate Chip     429.0
7827   28019      1800   KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Honey Oat     429.0
7817   28009      1800                KELLOGG'S, EGGO, Waffles, Blueberry     429.0
7818   28010      1800               KELLOGG'S, EGGO, Waffles, Buttermilk     429.0
7820   28012      1800     KELLOGG'S, EGGO, FIBERPLUS Waffles, Buttermilk     429.0
7821   28013      1800  KELLOGG'S, EGGO, FIBERPLUS Waffles, Chocolate ...     429.0
7824   28016      1800        KELLOGG'S, EGGO Protein, Waffles, Homestyle     429.0
2031    8594       800  Cereals ready-to-eat, GENERAL MILLS, Chocolate...     429.0
7826   28018      1800   KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Blueberry     429.0
5933   18505      1800       KELLOGG'S, EGGO, Waffles, Homestyle, Low Fat     429.0
7829   28021      1800    KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Original     429.0
7830   28022      1800    KELLOGG'S, EGGO Seasons, Waffles, Pumpkin Spice     429.0
7832   28024      1800               KELLOGG'S, EGGO, Waffles, Strawberry     429.0
7831   28023      1800                   KELLOGG'S, SIMPLY EGGO, Original     429.0
5999   18951      1800     Waffles, chocolate chip, frozen, ready-to-heat     429.0
5984   18934      1800  Waffle, buttermilk, frozen, ready-to-heat, mic...     429.0
2018    8579       800  Cereals ready-to-eat, GENERAL MILLS, 25% Less ...     426.0
3140   11422      1100                      Pumpkin, raw (Cucurbita spp.)     426.0
5820   18327      1800                 Pie, pumpkin, prepared from recipe     426.0
3044   11297      1100              Parsley, fresh (Petroselinum crispum)     421.0
1916    8273       800     Cereals ready-to-eat, GENERAL MILLS, BOO BERRY     421.0
1912    8268       800  Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY     420.0
3143   11426      1100                            Pumpkin pie mix, canned     415.0
3417   11801      1100  Mustard spinach, (tendergreen), cooked, boiled...     410.0
8684   43245       800  Cereals ready-to-eat, wheat and bran, presweet...     410.0
3022   11275      1100  Mustard spinach, (tendergreen), cooked, boiled...     410.0
8613   42265       800  Cereals ready-to-eat, POST, GREAT GRAINS, Rais...     407.0
8215   31019      1100  Seaweed, Canadian Cultivated EMI-TSUNOMATA, dr...     406.0
3263   11597      1100  Winged bean leaves, raw (Psophocarpus tetragon...     405.0
3168   11459      1100  Spinach, canned, regular pack, solids and liquids     404.0
3469   11855      1100  Spinach, canned, no salt added, solids and liq...     404.0
272     2023       200        Spices, marjoram, dried (Origanum majorana)     403.0
5982   18932      1800         Waffles, buttermilk, frozen, ready-to-heat     401.0
1881    8192       800  Cereals ready-to-eat, POST SELECTS Blueberry M...     400.0
3255   11587      1100         Vinespinach, (basella), raw (Basella alba)     400.0
3209   11512      1100                  Sweet potato, canned, vacuum pack     399.0
5875   18403      1800    Waffles, plain, frozen, ready -to-heat, toasted     398.0
7972   28169      1800  KELLOGG'S, POP-TARTS, Frosted Cookies & Creme ...     397.0
7815   28007      1800  KELLOGG'S, EGGO, Wafflers, Brown Sugar Cinnamo...     395.0
