|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
4104|13963|1300|"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"|0.0
5838|18351|1800|Rolls, hamburger or hotdog, mixed-grain|0.0
4092|13949|1300|"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"|0.0
5716|18210|1800|Cookies, vanilla sandwich with creme filling|0.0
5717|18211|1800|Puff pastry, frozen, ready-to-bake, baked|0.0
4099|13956|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, raw"|0.0
5664|18147|1800|Cheesecake commercially prepared|0.0
5669|18155|1800|Cookies, butter, commercially prepared, enriched|0.0
5718|18212|1800|Cookies, vanilla wafers, lower fat|0.0
4093|13950|1300|"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"|0.0
5712|18205|1800|Cookies, sugar, refrigerated dough|0.0
4098|13955|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted"|0.0
5703|18192|1800|Cookies, shortbread, commercially prepared, plain|0.0
5702|18191|1800|Cookies, raisin, soft-type|0.0
5701|18190|1800|Cookies, peanut butter sandwich, regular|0.0
5710|18202|1800|Cookies, sugar wafer, with creme filling, sugar free|0.0
5696|18185|1800|Cookies, peanut butter, commercially prepared, regular|0.0
5690|18178|1800|Cookies, oatmeal, commercially prepared, regular|0.0
5689|18177|1800|Cookies, molasses|0.0
5840|18353|1800|Rolls, hard (includes kaiser)|0.0
4095|13952|1300|"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"|0.0
5687|18175|1800|Cookies, ladyfingers, with lemon juice and rind|0.0
5685|18173|1800|Cookies, graham crackers, plain or honey (includes cinnamon)|0.0
5839|18352|1800|Rolls, hamburger or hotdog, reduced-calorie|0.0
5684|18172|1800|Cookies, gingersnaps|0.0
5683|18171|1800|Cookies, fortune|0.0
5682|18170|1800|Cookies, fig bars|0.0
4096|13953|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted"|0.0
4097|13954|1300|"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, raw"|0.0
5711|18204|1800|Cookies, sugar, commercially prepared, regular (includes vanilla)|0.0
5708|18200|1800|Cookies, oatmeal, commercially prepared, special dietary|0.0
4094|13951|1300|"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"|0.0
5828|18338|1800|Phyllo dough|0.0
5720|18214|1800|Crackers, cheese, regular|0.0
5802|18305|1800|Pie, blueberry, commercially prepared|0.0
5798|18301|1800|Pie, apple, commercially prepared, enriched flour|0.0
5794|18295|1800|Pancakes, buckwheat, dry mix, incomplete|0.0
5790|18291|1800|Pancakes, plain, dry mix, incomplete (includes buttermilk)|0.0
5787|18288|1800|Pancakes plain, frozen, ready-to-heat (includes buttermilk)|0.0
5785|18283|1800|Muffins, oat bran|0.0
5781|18279|1800|Muffins, corn, commercially prepared|0.0
5779|18277|1800|Muffins, blueberry, toaster-type|0.0
5777|18274|1800|Muffins, blueberry, commercially prepared (Includes mini-muffins)|0.0
5775|18272|1800|Ice cream cones, sugar, rolled-type|0.0
5774|18271|1800|Ice cream cones, cake or wafer-type|0.0
5773|18270|1800|Hush puppies, prepared from recipe|0.0
5770|18267|1800|English muffins, whole-wheat, toasted|0.0
5769|18266|1800|English muffins, whole-wheat|0.0
5833|18346|1800|Rolls, dinner, rye|0.0
5768|18265|1800|English muffins, wheat, toasted|0.0
5801|18304|1800|Pie, banana cream, prepared from recipe|0.0
5804|18308|1800|Pie, cherry, commercially prepared|0.0
