Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
1938    8363       800  Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER ...   13.88
6194   19165      1900                     Cocoa, dry powder, unsweetened   13.86
4855   16119      1600                            Soy meal, defatted, raw   13.70
1912    8268       800  Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY   13.60
1916    8273       800     Cereals ready-to-eat, GENERAL MILLS, BOO BERRY   13.60
4870   16135      1600  Winged beans, mature seeds, raw (Psophocarpus ...   13.44
3612   12011      1200  Seeds, cottonseed meal, partially defatted (gl...   13.35
7966   28162      1800                      KELLOGG'S, Corn Flakes Crumbs   13.30
2018    8579       800  Cereals ready-to-eat, GENERAL MILLS, 25% Less ...   12.89
8607   42237       800  Cereals ready-to-eat, WEETABIX whole grain cereal   12.86
2056    8642       800  Cereals, QUAKER, Instant Oatmeal, Apple and Ci...   12.77
3610   12007      1200  Seeds, cottonseed flour, partially defatted (g...   12.66
3611   12008      1200       Seeds, cottonseed flour, low fat (glandless)   12.58
5952   18562      1800  ARCHWAY Home Style Cookies, Reduced Fat Ginger...   12.57
1810    8060       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISI...   12.33
2989   11240      1100             Mushrooms, morel, raw (Morchella spp.)   12.18
5679   18166      1800  Cookies, chocolate sandwich, with creme fillin...   12.14
2055    8641       800  Cereals, QUAKER, Instant Oatmeal, fruit and cr...   12.13
4172   14067      1400                Beverages, Protein powder soy based   12.00
2053    8639       800  Cereals, QUAKER, Instant Oatmeal, Cinnamon Spi...   12.00
4842   16106      1600                                      Meat extender   11.99
6452   19904      1900               Chocolate, dark, 70-85% cacao solids   11.90
4493   15012      1500              Fish, caviar, black and red, granular   11.88
306     2065       200                  Spearmint, fresh (Mentha spicata)   11.87
260     2011       200       Spices, cloves, ground (Syzygium aromaticum)   11.83
7713   25017      2500               Formulated bar, POWER BAR, chocolate   11.70
1953    8409       800  Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes   11.60
1895    8225       800  Cereals, QUAKER, Instant Oatmeal, fruit and cr...   11.30
5855   18370      1800  Leavening agents, baking powder, double-acting...   11.27
286     2037       200                   Spices, saffron (Crocus sativus)   11.10
5854   18369      1800  Leavening agents, baking powder, double-acting...   11.02
3585   11978      1100                              Peppers, ancho, dried   10.93
7755   25068      2500                       Snack, BALANCE, original bar   10.90
4815   16078      1600  Mothbeans, mature seeds, raw (Vigna aconitifolia)   10.85
4706   15229      1500  Mollusks, cuttlefish, mixed species, cooked, m...   10.84
4857   16121      1600  Soy protein concentrate, produced by alcohol e...   10.78
5008   16420      1600     Soy protein concentrate, produced by acid wash   10.78
1896    8228       800  Cereals, QUAKER, Instant Oatmeal, raisins, dat...   10.70
6540   20077      2000                                  Wheat bran, crude   10.57
1988    8509       800  Cereals ready-to-eat, USDA Commodity Rice Cris...   10.53
4787   16049      1600  Beans, white, mature seeds, raw (Phaseolus vul...   10.44
3285   11634      1100                Peppers, sweet, green, freeze-dried   10.40
3541   11931      1100                  Peppers, sweet, red, freeze-dried   10.40
2110    8704       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Maple Br...   10.39
2109    8703       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Cranberr...   10.39
2108    8702       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Cinnamon...   10.39
2087    8680       800  Cereals, oats, instant, fortified, maple and b...   10.36
6048   19000      1900                            SCHIFF,TIGER'S MILK BAR   10.28
2093    8686       800  Cereals, QUAKER, Weight Control Instant Oatmea...   10.13
7711   25015      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   10.13
1956    8417       800  Cereals, QUAKER, Instant Oatmeal, Banana Bread...   10.07
4655   15178      1500   Mollusks, whelk, unspecified, cooked, moist heat   10.06
4798   16060      1600  Cowpeas, catjang, mature seeds, raw (Vigna ung...    9.95
3589   11982      1100                            Peppers, pasilla, dried    9.83
8684   43245       800  Cereals ready-to-eat, wheat and bran, presweet...    9.82
282     2033       200            Spices, poppy seed (Papaver somniferum)    9.76
5014   16428      1600  Tofu, dried-frozen (koyadofu), prepared with c...    9.73
4864   16128      1600                      Tofu, dried-frozen (koyadofu)    9.73
279     2030       200               Spices, pepper, black (Piper nigrum)    9.71
1582    6959       600                         Gravy, instant turkey, dry    9.57
4707   15230      1500      Mollusks, octopus, common, cooked, moist heat    9.54
1854    8132       800  Cereals, oats, instant, fortified, with raisin...    9.43
2095    8688       800  Cereals, QUAKER, Instant Oatmeal, Cinnamon Swi...    9.41
7988   28185      1800  KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Stra...    9.40
4768   16030      1600  Beans, kidney, california red, mature seeds, r...    9.35
1272    6115       600                                 Gravy, au jus, dry    9.30
4853   16117      1600                                Soy flour, defatted    9.24
273     2024       200  Spices, mustard seed, ground (Sinapis alba and...    9.21
4646   15169      1500  Mollusks, oyster, eastern, wild, cooked, moist...    9.21
4708   15231      1500      Mollusks, oyster, Pacific, cooked, moist heat    9.20
1908    8261       800  Cereals ready-to-eat, GENERAL MILLS, RAISIN NU...    9.19
1958    8436       800  Cereals, QUAKER, Instant Oatmeal, Raisin and S...    9.10
3564   11955      1100                                Tomatoes, sun-dried    9.09
1826    8084       800   Cereals ready-to-eat, wheat germ, toasted, plain    9.09
1923    8305       800           Cereals ready-to-eat, Post, Waffle Crisp    9.00
3695   12166      1200  Seeds, sesame butter, tahini, from roasted and...    8.95
3156   11444      1100         Seaweed, irishmoss, raw (Chondrus crispus)    8.90
4371   14375      1400  Beverages, tea, instant, sweetened with sodium...    8.87
4364   14356      1400  Beverages, tea, instant, decaffeinated, lemon,...    8.87
2101    8694       800  Cereals, QUAKER, Instant Oatmeal, weight contr...    8.84
3615   12014      1200      Seeds, pumpkin and squash seed kernels, dried    8.82
1850    8124       800  Cereals, QUAKER, Instant Oatmeal, apples and c...    8.78
