Long_Desc                                                                  VITA_RAE
Swamp cabbage (skunk cabbage), cooked, boiled, drained, with salt          260.0
Jute, potherb, cooked, boiled, drained, without salt                       259.0
Jute, potherb, cooked, boiled, drained, with salt                          259.0
Mustard greens, frozen, unprepared                                         258.0
Spices, savory, ground (Satureja hortensis)                                257.0
Vegetables, mixed, frozen, unprepared                                      254.0
Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal                      253.0
Collards, raw (Brassica oleracea var. viridis)                             251.0
Spinach souffle                                                            244.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN                244.0
Taro leaves, raw (Colocasia esculenta)                                     241.0
Squash, winter, butternut, frozen, unprepared                              240.0
Cookies, sugar, prepared from recipe, made with margarine                  238.0
Thyme, fresh (Thymus vulgaris)                                             238.0
Cress, garden, cooked, boiled, drained, with salt                          232.0
Cress, garden, cooked, boiled, drained, without salt                       232.0
Cereals, CREAM OF WHEAT, instant, prepared with water, without salt        232.0
Broccoli raab, cooked                                                      227.0
Cabbage, chinese (pak-choi), raw (Brassica rapa (Chinensis Group))         223.0
Apricots, dehydrated (low-moisture), sulfured, stewed                      220.0
Borage, cooked, boiled, drained, without salt                              219.0
Borage, cooked, boiled, drained, with salt                                 219.0
Chives, raw (Allium schoenoprasum)                                         218.0
Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk     216.0
Vegetables, mixed, frozen, cooked, boiled, drained, with salt              214.0
Vegetables, mixed, frozen, cooked, boiled, drained, without salt           214.0
Peppermint, fresh (Mentha x piperita L. nothosubsp. piperita)              212.0
Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt            212.0
Taro, leaves, cooked, steamed, with salt                                   212.0
Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt         212.0
Taro leaves, cooked, steamed, without salt                                 212.0
Spices, tarragon, dried (Artemisia dracunculus)                            210.0
Borage, raw (Borago officinalis)                                           210.0
Croissants, butter                                                         206.0
Croissants, cheese                                                         204.0
Spearmint, fresh (Mentha spicata)                                          203.0
Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, s     202.0
Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry     202.0
Ice creams, chocolate, rich                                                201.0
Squash, winter, hubbard, cooked, boiled, mashed, without salt              200.0
Squash, winter, hubbard, cooked, boiled, mashed, with salt                 200.0
Ice creams, vanilla, fat free                                              200.0
Dock, raw (Rumex spp.)                                                     200.0
Onions, young green, tops only (Allium cepa)                               200.0
SUNSHINE, CHEEZ-IT, Pepper Jack Crackers                                   197.0
Pie crust, cookie-type, prepared from recipe, graham cracker, chilled      191.0
Spices, thyme, dried (Thymus vulgaris)                                     190.0
Cereals ready-to-eat, KASHI HEART TO HEART, Honey Toasted Oat              189.0
Sweet potato leaves, raw (Ipomoea batatas)                                 189.0
Ice creams, vanilla, rich                                                  182.0
Fiddlehead ferns, raw (Matteuccia struthioreris)                           181.0
Apricots, dried, sulfured, uncooked                                        180.0
Fireweed, leaves, raw (Epilobium angustifolium)                            180.0
Turnip greens, canned, solids and liquids                                  179.0
Cookies, brownies, prepared from recipe                                    176.0
Celtuce, raw (Lactuca sativa)                                              175.0
Dock, cooked, boiled, drained, with salt                                   174.0
Dock, cooked, boiled, drained, without salt                                174.0
Melons, cantaloupe, raw (Cucumis melo)                                     169.0
Fiddlehead ferns, frozen, unprepared                                       168.0
Squash, winter, butternut, frozen, cooked, boiled, without salt            167.0
Cookies, ladyfingers, without lemon juice and rind                         167.0
Squash, winter, butternut, frozen, cooked, boiled, with salt               167.0
Lettuce, butterhead (includes boston and bibb types), raw (Lactuca sat     166.0
Cookies, butter, commercially prepared, enriched                           165.0
Ice creams, french vanilla, soft-serve                                     162.0
Cookies, oatmeal, prepared from recipe, without raisins                    160.0
Cookies, butter, commercially prepared, unenriched                         160.0
Watercress, raw (Nasturtium officinale)                                    160.0
Cheesecake commercially prepared                                           159.0
Peppers, sweet, red, raw                                                   157.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX                           157.0
