row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
8172   28371      1800  UDI'S, Gluten Free, Soft & Delicious White San...  0.000
8170   28369      1800  SCHAR, Gluten-Free, Wheat-Free, Classic White ...  0.000
8169   28368      1800            SCHAR, Gluten-Free, Classic White Rolls  0.000
8168   28367      1800  SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies  0.000
8167   28366      1800  RUDI'S, Gluten-Free Bakery, Original Sandwich ...  0.000
8100   28298      1800  Cookies, brownies, commercially prepared, redu...  0.000
8560   42040      1900                                  Syrups, grenadine  0.000
8101   28299      1800  Cookies, chocolate sandwich, with creme fillin...  0.000
8097   28295      1800      Tortillas, ready-to-bake or -fry, whole wheat  0.000
8593   42187      1900       Frozen yogurts, flavors other than chocolate  0.000
8143   28341      1800  Rolls, gluten-free, white, made with rice flou...  0.000
8176   28375      1800       VAN'S, Gluten Free, Totally Original Waffles  0.000
8175   28374      1800      VAN'S, Gluten Free, Totally Original Pancakes  0.000
8174   28373      1800       UDI'S, Gluten Free, Whole Grain Dinner Rolls  0.000
5717   18211      1800          Puff pastry, frozen, ready-to-bake, baked  0.000
8113   28311      1800            Cookies, sugar wafer, chocolate-covered  0.000
8096   28294      1800           Cookie, chocolate, with icing or coating  0.000
5719   18213      1800                Cookies, vanilla wafers, higher fat  0.000
5742   18236      1800                                       Cracker meal  0.000
8562   42063      1900                                     Pectin, liquid  0.000
8156   28355      1800  CRUNCHMASTER, Multi-Grain Crisps, Snack Cracke...  0.000
8570   42131      1900     Milk dessert, frozen, milk-fat free, chocolate  0.000
5747   18242      1800                                    Croutons, plain  0.000
8154   28352      1800  Cookies, vanilla sandwich with creme filling, ...  0.000
8105   28303      1800                      Crackers, cheese, whole grain  0.000
8153   28351      1800                             Cookies, Marie biscuit  0.000
5562   18001      1800  Bagels, plain, enriched, with calcium propiona...  0.000
5563   18002      1800  Bagels, plain, enriched, with calcium propiona...  0.000
8133   28331      1800                    Crackers, flavored, fish-shaped  0.000
8134   28332      1800  Cookies, gluten-free, chocolate sandwich, with...  0.000
8152   28350      1800    Cookies, chocolate cream covered biscuit sticks  0.000
5565   18005      1800                            Bagels, cinnamon-raisin  0.000
5647   18117      1800                Cake, pudding-type, marble, dry mix  0.000
8106   28304      1800  Waffles, whole wheat, lowfat, frozen, ready-to...  0.000
8108   28306      1800  Bread, chapati or roti, plain, commercially pr...  0.000
5566   18006      1800                   Bagels, cinnamon-raisin, toasted  0.000
8109   28307      1800  Bread, naan, plain, commercially prepared, ref...  0.000
5567   18007      1800                                   Bagels, oat bran  0.000
8110   28308      1800    Crackers, standard snack-type, with whole wheat  0.000
8157   28356      1800  GLUTINO, Gluten Free Cookies, Chocolate Vanill...  0.000
5748   18243      1800                                 Croutons, seasoned  0.000
8158   28357      1800        GLUTINO, Gluten Free Cookies, Vanilla Creme  0.000
8104   28302      1800   Cookies, graham crackers, plain or honey, lowfat  0.000
8563   42074      1900  Frozen novelties, ice cream type, vanilla ice ...  0.000
8103   28301      1800  Cookies, peanut butter, commercially prepared,...  0.000
5654   18131      1800  Cake, white, dry mix, special dietary (include...  0.000
5696   18185      1800  Cookies, peanut butter, commercially prepared,...  0.000
5653   18128      1800            Cake, snack cakes, creme-filled, sponge  0.000
8159   28358      1800        GLUTINO, Gluten Free Wafers, Lemon Flavored  0.000
8166   28365      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...  0.000
8165   28364      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...  0.000
5652   18127      1800  Cake, snack cakes, creme-filled, chocolate wit...  0.000
5651   18126      1800  Cake, shortcake, biscuit-type, prepared from r...  0.000
8164   28363      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...  0.000
8160   28359      1800        GLUTINO, Gluten Free Wafers, Milk Chocolate  0.000
8132   28330      1800  Cookies, marshmallow, with rice cereal and cho...  0.000
8119   28317      1800                    Bread, wheat, sprouted, toasted  0.000
8661   43125      1600             Beans, liquid from stewed kidney beans  0.000
8659   43112      1600        Beans, chili, barbecue, ranch style, cooked  0.000
8656   43098      1900                  Pie fillings, cherry, low calorie  0.000
8653   43060      1900                             Chewing gum, sugarless  0.000
8652   43059      1900  Candies, chocolate covered, low sugar or low c...  0.000
8651   43058      1900  Candies, hard, dietetic or low calorie (sorbitol)  0.000
8650   43057      1900  Candies, gum drops, no sugar or low calorie (s...  0.000
8649   43046      1900                      Candies, nougat, with almonds  0.000
8648   43031      1900      Candies, chocolate covered, caramel with nuts  0.000
8647   43028      1900  Jams and preserves, no sugar (with sodium sacc...  0.000
